TEAM,GMS,TOTAL
Jazz,24,"84,534"
Magic,25,"89,461"
Rockets,25,"79,433"
Mavericks,22,"34,796"
76ers,25,"19,449"
Nuggets,25,"11,057"
Raptors,24,"19,293"
Suns,26,"46,670"
Spurs,29,"31,631"
Hornets,22,"13,787"
Cavaliers,24,"45,848"
Pelicans,27,"59,820"
Bucks,25,"28,700"
Grizzlies,26,"34,138"
Celtics,25,"6,894"
Hawks,22,"25,826"
NY Knicks,24,"18,804"
Nets,27,"14,534"
Timberwolves,25,"1,436"
Pistons,24,"5,250"
Bulls,26,0
Warriors,24,0
Pacers,23,0
Clippers,27,0
Lakers,27,0
Heat,27,0
Trail Blazers,25,0
Kings,26,0
Thunder,25,0
Wizards,26,0
Leb,0,0
Dur,1,0